date,order_id,region,category,product,quantity,revenue,cost,margin
2024-01-01,ORD-20240101-4239,Durban,Home,Chair,4,15232.02,8012.39,7219.63
2024-01-01,ORD-20240101-4896,Cape Town,Electronics,Phone,5,41722.46,25191.68,16530.78
2024-01-01,ORD-20240101-8651,Pretoria,Groceries,Bread,1,173.58,134.13,39.45
2024-01-01,ORD-20240101-7423,Durban,Electronics,Smartwatch,1,4512.43,3543.95,968.48
2024-01-01,ORD-20240101-3627,Pretoria,Home,Table,1,2717.76,1728.1,989.66
2024-01-01,ORD-20240101-7097,Pretoria,Groceries,Bread,4,1184.57,874.3,310.27
2024-01-01,ORD-20240101-1349,Pretoria,Groceries,Eggs,4,544.67,272.57,272.1
2024-01-01,ORD-20240101-3308,Pretoria,Home,Lamp,5,29861.97,16308.27,13553.7
2024-01-01,ORD-20240101-9758,Durban,Electronics,Headphones,3,10672.97,8021.48,2651.49
2024-01-02,ORD-20240102-5125,Durban,Fashion,Jeans,5,3936.29,3091.57,844.72
2024-01-02,ORD-20240102-6354,Johannesburg,Electronics,Phone,3,32489.67,22823.2,9666.47
2024-01-02,ORD-20240102-1233,Pretoria,Home,Table,2,4859.07,3475.07,1384.0
2024-01-02,ORD-20240102-4949,Cape Town,Fashion,T-shirt,2,2719.01,1977.63,741.38
2024-01-02,ORD-20240102-4107,Johannesburg,Groceries,Bread,3,755.9,591.52,164.38
2024-01-02,ORD-20240102-9048,Pretoria,Electronics,Laptop,2,32246.33,22737.92,9508.41
2024-01-02,ORD-20240102-2006,Johannesburg,Fashion,Sneakers,2,1123.79,893.79,230.0
2024-01-02,ORD-20240102-8927,Johannesburg,Home,Table,3,4787.16,3183.05,1604.11
2024-01-02,ORD-20240102-4520,Cape Town,Electronics,Laptop,5,41131.91,31213.63,9918.28
2024-01-02,ORD-20240102-1808,Cape Town,Home,Chair,1,4664.1,2750.72,1913.38
2024-01-03,ORD-20240103-7834,Cape Town,Electronics,Smartwatch,2,14658.6,8871.1,5787.5
2024-01-03,ORD-20240103-9027,Cape Town,Fashion,Jacket,4,5140.99,3069.89,2071.1
2024-01-03,ORD-20240103-4937,Cape Town,Fashion,Jacket,4,4851.12,3428.34,1422.78
